"plate","filename","well","sample_id"
"plate1","09-082-002 SB01 Plate 1_P1_E11.lxb","E11","09-082-002 SB01 Plate 1_P1_E11_plate1_E11"
"plate1","09-082-002 SB01 Plate 1_P1_E12.lxb","E12","09-082-002 SB01 Plate 1_P1_E12_plate1_E12"
"plate1","09-082-002 SB01 Plate 1_P1_E1.lxb","E1","09-082-002 SB01 Plate 1_P1_E1_plate1_E1"
"plate1","09-082-002 SB01 Plate 1_P1_E2.lxb","E2","09-082-002 SB01 Plate 1_P1_E2_plate1_E2"
"plate1","09-082-002 SB01 Plate 1_P1_E3.lxb","E3","09-082-002 SB01 Plate 1_P1_E3_plate1_E3"
"plate1","09-082-002 SB01 Plate 1_P1_E4.lxb","E4","09-082-002 SB01 Plate 1_P1_E4_plate1_E4"
"plate1","09-082-002 SB01 Plate 1_P1_E5.lxb","E5","09-082-002 SB01 Plate 1_P1_E5_plate1_E5"
"plate1","09-082-002 SB01 Plate 1_P1_E6.lxb","E6","09-082-002 SB01 Plate 1_P1_E6_plate1_E6"
"plate1","09-082-002 SB01 Plate 1_P1_E7.lxb","E7","09-082-002 SB01 Plate 1_P1_E7_plate1_E7"
"plate1","09-082-002 SB01 Plate 1_P1_E8.lxb","E8","09-082-002 SB01 Plate 1_P1_E8_plate1_E8"
"plate1","09-082-002 SB01 Plate 1_P1_E9.lxb","E9","09-082-002 SB01 Plate 1_P1_E9_plate1_E9"
"plate1","09-082-002 SB01 Plate 1_P1_F10.lxb","F10","09-082-002 SB01 Plate 1_P1_F10_plate1_F10"
"plate1","09-082-002 SB01 Plate 1_P1_F11.lxb","F11","09-082-002 SB01 Plate 1_P1_F11_plate1_F11"
"plate1","09-082-002 SB01 Plate 1_P1_F12.lxb","F12","09-082-002 SB01 Plate 1_P1_F12_plate1_F12"
"plate1","09-082-002 SB01 Plate 1_P1_F1.lxb","F1","09-082-002 SB01 Plate 1_P1_F1_plate1_F1"
"plate1","09-082-002 SB01 Plate 1_P1_F2.lxb","F2","09-082-002 SB01 Plate 1_P1_F2_plate1_F2"
"plate1","09-082-002 SB01 Plate 1_P1_F3.lxb","F3","09-082-002 SB01 Plate 1_P1_F3_plate1_F3"
"plate1","09-082-002 SB01 Plate 1_P1_F4.lxb","F4","09-082-002 SB01 Plate 1_P1_F4_plate1_F4"
"plate1","09-082-002 SB01 Plate 1_P1_F5.lxb","F5","09-082-002 SB01 Plate 1_P1_F5_plate1_F5"
"plate1","09-082-002 SB01 Plate 1_P1_F6.lxb","F6","09-082-002 SB01 Plate 1_P1_F6_plate1_F6"
"plate1","09-082-002 SB01 Plate 1_P1_F7.lxb","F7","09-082-002 SB01 Plate 1_P1_F7_plate1_F7"
"plate1","09-082-002 SB01 Plate 1_P1_F8.lxb","F8","09-082-002 SB01 Plate 1_P1_F8_plate1_F8"
"plate1","09-082-002 SB01 Plate 1_P1_F9.lxb","F9","09-082-002 SB01 Plate 1_P1_F9_plate1_F9"
"plate1","09-082-002 SB01 Plate 1_P1_G10.lxb","G10","09-082-002 SB01 Plate 1_P1_G10_plate1_G10"
"plate1","09-082-002 SB01 Plate 1_P1_G11.lxb","G11","09-082-002 SB01 Plate 1_P1_G11_plate1_G11"
"plate1","09-082-002 SB01 Plate 1_P1_G12.lxb","G12","09-082-002 SB01 Plate 1_P1_G12_plate1_G12"
"plate1","09-082-002 SB01 Plate 1_P1_G1.lxb","G1","09-082-002 SB01 Plate 1_P1_G1_plate1_G1"
"plate1","09-082-002 SB01 Plate 1_P1_G2.lxb","G2","09-082-002 SB01 Plate 1_P1_G2_plate1_G2"
"plate1","09-082-002 SB01 Plate 1_P1_G3.lxb","G3","09-082-002 SB01 Plate 1_P1_G3_plate1_G3"
"plate1","09-082-002 SB01 Plate 1_P1_G4.lxb","G4","09-082-002 SB01 Plate 1_P1_G4_plate1_G4"
"plate1","09-082-002 SB01 Plate 1_P1_G5.lxb","G5","09-082-002 SB01 Plate 1_P1_G5_plate1_G5"
"plate1","09-082-002 SB01 Plate 1_P1_G6.lxb","G6","09-082-002 SB01 Plate 1_P1_G6_plate1_G6"
"plate1","09-082-002 SB01 Plate 1_P1_G7.lxb","G7","09-082-002 SB01 Plate 1_P1_G7_plate1_G7"
"plate1","09-082-002 SB01 Plate 1_P1_G8.lxb","G8","09-082-002 SB01 Plate 1_P1_G8_plate1_G8"
"plate1","09-082-002 SB01 Plate 1_P1_G9.lxb","G9","09-082-002 SB01 Plate 1_P1_G9_plate1_G9"
"plate1","09-082-002 SB01 Plate 1_P1_H10.lxb","H10","09-082-002 SB01 Plate 1_P1_H10_plate1_H10"
"plate1","09-082-002 SB01 Plate 1_P1_H11.lxb","H11","09-082-002 SB01 Plate 1_P1_H11_plate1_H11"
"plate1","09-082-002 SB01 Plate 1_P1_H12.lxb","H12","09-082-002 SB01 Plate 1_P1_H12_plate1_H12"
"plate1","09-082-002 SB01 Plate 1_P1_H1.lxb","H1","09-082-002 SB01 Plate 1_P1_H1_plate1_H1"
"plate1","09-082-002 SB01 Plate 1_P1_H2.lxb","H2","09-082-002 SB01 Plate 1_P1_H2_plate1_H2"
"plate1","09-082-002 SB01 Plate 1_P1_H3.lxb","H3","09-082-002 SB01 Plate 1_P1_H3_plate1_H3"
"plate1","09-082-002 SB01 Plate 1_P1_H4.lxb","H4","09-082-002 SB01 Plate 1_P1_H4_plate1_H4"
"plate1","09-082-002 SB01 Plate 1_P1_H5.lxb","H5","09-082-002 SB01 Plate 1_P1_H5_plate1_H5"
"plate1","09-082-002 SB01 Plate 1_P1_H6.lxb","H6","09-082-002 SB01 Plate 1_P1_H6_plate1_H6"
"plate1","09-082-002 SB01 Plate 1_P1_H7.lxb","H7","09-082-002 SB01 Plate 1_P1_H7_plate1_H7"
"plate1","09-082-002 SB01 Plate 1_P1_H8.lxb","H8","09-082-002 SB01 Plate 1_P1_H8_plate1_H8"
"plate1","09-082-002 SB01 Plate 1_P1_H9.lxb","H9","09-082-002 SB01 Plate 1_P1_H9_plate1_H9"
